CRN,Course,*Campus,Days,Date,Time,Location,Hrs,Type,Title,Instructor,Seats,Limit,Enroll,Waitlist,Course Fees,Catalog
"21321","CHEM 5000-06","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Directed Research","Nicolas E. Holubowitch","5","5","0","0","N/A","Bookstore Link",
"21324","CHEM 5029-01","M","F","08/14/2023-12/08/2023","1400-1515",,"1","CLAS","Graduate Seminar","Sally C. Pias","30","30","0","0","N/A","Bookstore Link",
"22462","CHEM 5061-01","M","T R","08/14/2023-12/08/2023","0930-1045",,"3","CLAS","Intro Biomolec Simulations","Sally C. Pias","12","12","0","0","N/A","Bookstore Link",
"21326","CHEM 5089-01","M","T R","08/14/2023-12/08/2023","1100-1215",,"3","CLAS","Advanced Electrochemistry","Nicolas E. Holubowitch","10","10","0","0","N/A","Bookstore Link",
"21330","CHEM 5091-01","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Thesis","Jeff A. Altig","5","5","0","0","N/A","Bookstore Link",
"21331","CHEM 5091-02","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Thesis","Wenyang Gao","5","5","0","0","N/A","Bookstore Link",
"21334","CHEM 5091-03","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Thesis","Praveen Patidar","5","5","0","0","N/A","Bookstore Link",
"21335","CHEM 5091-04","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Thesis","Sally C. Pias","5","5","0","0","N/A","Bookstore Link",
"21338","CHEM 5091-05","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Thesis","Menake E. Piyasena","5","5","0","0","N/A","Bookstore Link",
"21339","CHEM 5091-06","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Thesis","Gayan R. Rubasinghege","5","5","0","0","N/A","Bookstore Link",
"21340","CHEM 5091-07","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Thesis","Nicolas E. Holubowitch","5","5","0","0","N/A","Bookstore Link",
"21343","CHEM 5095-01","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Dissertation","Jeff A. Altig","5","5","0","0","N/A","Bookstore Link",
"21344","CHEM 5095-02","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Dissertation","Wenyang Gao","5","5","0","0","N/A","Bookstore Link",
"21345","CHEM 5095-03","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Dissertation","Praveen Patidar","5","5","0","0","N/A","Bookstore Link",
"21346","CHEM 5095-04","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Dissertation","Sally C. Pias","5","5","0","0","N/A","Bookstore Link",
"21349","CHEM 5095-05","M",,"08/14/2023-12/08/2023",,,"1","CLAS","Dissertation","Menake E. Piyasena","5","5","0","0","N/A","Bookstore Link",
