CRN,Course,*Campus,Days,Date,Time,Location,Hrs,Type,Title,Instructor,Seats,Limit,Enroll,Waitlist,Course Fees,Catalog
"10842","GEOC 5095-06","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Nicole C. Hurtig","10","10","0","0","N/A","Bookstore Link",
"10843","GEOC 5095-07","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Daniel S. Jones","10","10","0","0","N/A","Bookstore Link",
"10844","GEOC 5095-08","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Shari A. Kelley","10","10","0","0","N/A","Bookstore Link",
"10845","GEOC 5095-09","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Philip Kyle","10","10","0","0","N/A","Bookstore Link",
"10846","GEOC 5095-10","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","William C. McIntosh","10","10","0","0","N/A","Bookstore Link",
"10847","GEOC 5095-11","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Michael V. Schaefer","10","10","0","0","N/A","Bookstore Link",
"10848","GEOC 5095-12","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Laura E. Waters","10","10","0","0","N/A","Bookstore Link",
"10849","GEOC 5095-13","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Matthew Zimmerer","10","10","0","0","N/A","Bookstore Link",
"10836","GEOP 5000-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Robert Balch","10","10","0","0","N/A","Bookstore Link",
"10837","GEOP 5000-02","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Susan L. Bilek","10","10","0","0","N/A","Bookstore Link",
"10850","GEOP 5000-03","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","John Naliboff","10","10","0","0","N/A","Bookstore Link",
"10851","GEOP 5000-04","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Alex J. Rinehart","10","10","0","0","N/A","Bookstore Link",
"10852","GEOP 5000-05","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Glenn A. Spinelli","10","10","0","0","N/A","Bookstore Link",
"10853","GEOP 5000-06","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Directed Research","Jolante W. Van Wijk","10","10","0","0","N/A","Bookstore Link",
"10854","GEOP 5091-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Robert Balch","10","10","0","0","N/A","Bookstore Link",
"10855","GEOP 5091-02","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Susan L. Bilek","10","10","0","0","N/A","Bookstore Link",
"10856","GEOP 5091-03","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","John Naliboff","10","10","0","0","N/A","Bookstore Link",
"10857","GEOP 5091-04","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Alex J. Rinehart","10","10","0","0","N/A","Bookstore Link",
"10858","GEOP 5091-05","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Glenn A. Spinelli","10","10","0","0","N/A","Bookstore Link",
"10859","GEOP 5091-06","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Thesis","Jolante W. Van Wijk","10","10","0","0","N/A","Bookstore Link",
"10860","GEOP 5095-01","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Robert Balch","10","10","0","0","N/A","Bookstore Link",
"10861","GEOP 5095-02","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Susan L. Bilek","10","10","0","0","N/A","Bookstore Link",
"10862","GEOP 5095-03","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","John Naliboff","10","10","0","0","N/A","Bookstore Link",
"10863","GEOP 5095-04","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Alex J. Rinehart","10","10","0","0","N/A","Bookstore Link",
"10864","GEOP 5095-05","M",,"06/05/2023-07/28/2023",,,"1","CLAS","Dissertation","Glenn A. Spinelli","10","10","0","0","N/A","Bookstore Link",
