"CRN","Course","*Campus","Days","Date","Time","Location","Hrs","Type","Title","Instructor","Seats","Limit","Enroll","Waitlist","Course Fees","Catalog"
"31714","CH E 563-01D","DE","T R","01/16/2023-05/09/2023","1100-1215","","3","CLAS","Design and Analysis of Experim","Donghyeon Ryu","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHE563",""
"31556","CH E 572-01","M","T R","01/16/2023-05/09/2023","1530-1645","JONES 227","3","CLAS","Interfacial Transport Phenomen","Pabitra Choudhury","8","22","14","0","$35","https://catalog.nmt.edu/courses/CHE572",""
"31557","CH E 572-01D","M","T R","01/16/2023-05/09/2023","1530-1645","","3","CLAS","Interfacial Transport Phenomen","Pabitra Choudhury","2","5","3","0","N/A","https://catalog.nmt.edu/courses/CHE572",""
"31405","CH E 591-01","M","","01/16/2023-05/09/2023","","","1","CLAS","Thesis","Sanchari Chowdhury","7","10","3","0","N/A","https://catalog.nmt.edu/courses/CHE591",""
"31454","CH E 591-02","M","","01/16/2023-05/09/2023","","","1","CLAS","Thesis","Pabitra Choudhury","8","10","2","0","N/A","https://catalog.nmt.edu/courses/CHE591",""
"31455","CH E 591-03","M","","01/16/2023-05/09/2023","","","1","CLAS","Thesis","Corey A. Leclerc","8","10","2","0","N/A","https://catalog.nmt.edu/courses/CHE591",""
"31007","CH E 591-04","M","","01/16/2023-05/09/2023","","","1","CLAS","Thesis","Youngmin Lee","9","10","1","0","N/A","https://catalog.nmt.edu/courses/CHE591",""
"31009","CH E 591-05","M","","01/16/2023-05/09/2023","","","1","CLAS","Thesis","Michaelann S. Tartis","7","10","3","0","N/A","https://catalog.nmt.edu/courses/CHE591",""
"31010","CH E 595-01","M","","01/16/2023-05/09/2023","","","1","CLAS","Dissertation","Pabitra Choudhury","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHE595",""
"31011","CH E 595-02","M","","01/16/2023-05/09/2023","","","1","CLAS","Dissertation","Sanchari Chowdhury","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHE595",""
"31012","CH E 595-03","M","","01/16/2023-05/09/2023","","","1","CLAS","Dissertation","Corey A. Leclerc","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHE595",""
"31013","CH E 595-04","M","","01/16/2023-05/09/2023","","","1","CLAS","Dissertation","Youngmin Lee","9","10","1","0","N/A","https://catalog.nmt.edu/courses/CHE595",""
"31015","CH E 595-05","M","","01/16/2023-05/09/2023","","","1","CLAS","Dissertation","Michaelann S. Tartis","10","10","0","0","N/A","https://catalog.nmt.edu/courses/CHE595",""
"31518","CHEM 0189-01","M","R","01/16/2023-05/09/2023","1700-1750","LOPEZ 106","1","CLAS","Advanced Supplemental Instruct","Jeff A. Altig","5","24","19","0","N/A","https://catalog.nmt.edu/courses/CHEM0189",""
"30801","CHEM 1215-01","M","M W F","01/16/2023-05/09/2023","1100-1150","LOPEZ 106","3","CLAS","General Chemistry I","Ujith S. Madduma Bandarage","0","72","72","0","N/A","https://catalog.nmt.edu/courses/CHEM1215",""
"30811","CHEM 1215L-01","M","T","01/16/2023-05/09/2023","1400-1630","LOPEZ 135","1","CLAS","General Chemistry I Lab","Jeff A. Altig & Yagama Nipuni A. De Silva","1","24","23","0","$150","https://catalog.nmt.edu/courses/CHEM1215",""
"30906","CHEM 1215L-02","M","W","01/16/2023-05/09/2023","1400-1630","LOPEZ 135","1","CLAS","General Chemistry I Lab","Jeff A. Altig & Yagama Nipuni A. De Silva","2","24","22","0","$150","https://catalog.nmt.edu/courses/CHEM1215",""
"31290","CHEM 1215L-03","M","R","01/16/2023-05/09/2023","1400-1630","LOPEZ 135","1","CLAS","General Chemistry I Lab","Jeff A. Altig & Ruthie J. Mulvaney","10","24","14","0","$150","https://catalog.nmt.edu/courses/CHEM1215",""
"30909","CHEM 1225-01","M","M W F","01/16/2023-05/09/2023","0900-0950","LOPEZ 106","3","CLAS","General Chemistry II","Ujith S. Madduma Bandarage","8","66","58","0","N/A","https://catalog.nmt.edu/courses/CHEM1225",""
"30910","CHEM 1225-02","M","M W F","01/16/2023-05/09/2023","1000-1050","LOPEZ 106","3","CLAS","General Chemistry II","Menake E. Piyasena","0","66","66","0","N/A","https://catalog.nmt.edu/courses/CHEM1225",""
"31291","CHEM 1225-03","M","M W F","01/16/2023-05/09/2023","1300-1350","LOPEZ 106","3","CLAS","General Chemistry II","Menake E. Piyasena","12","66","54","0","N/A","https://catalog.nmt.edu/courses/CHEM1225",""
"31517","CHEM 1225-04","M","MTW","01/16/2023-05/09/2023","1700-1750","LOPEZ 106","3","CLAS","General Chemistry II(Advanced)","Jeff A. Altig","5","24","19","0","N/A","https://catalog.nmt.edu/courses/CHEM1225",""
"30952","CHEM 1225L-01","M","M","01/16/2023-05/09/2023","1400-1630","LOPEZ 134","1","CLAS","General Chemistry II Lab","Jeff A. Altig & Abigail R. Bonzon","0","24","24","0","$150","https://catalog.nmt.edu/courses/CHEM1225",""
"30953","CHEM 1225L-02","M","M","01/16/2023-05/09/2023","1830-2100","LOPEZ 134","1","CLAS","General Chemistry II Lab","Jeff A. Altig & Jordyn Wemhoner","8","24","16","0","$150","https://catalog.nmt.edu/courses/CHEM1225",""
"30954","CHEM 1225L-03","M","T","01/16/2023-05/09/2023","1400-1630","LOPEZ 134","1","CLAS","General Chemistry II Lab","Jeff A. Altig & Malsha Indeewari Kanaththage","0","24","24","0","$150","https://catalog.nmt.edu/courses/CHEM1225",""
"30955","CHEM 1225L-04","M","T","01/16/2023-05/09/2023","1830-2100","LOPEZ 134","1","CLAS","General Chemistry II Lab","Jeff A. Altig & Timothy J. Bonzon","3","24","21","0","$150","https://catalog.nmt.edu/courses/CHEM1225",""
"30956","CHEM 1225L-05","M","W","01/16/2023-05/09/2023","1400-1630","LOPEZ 134","1","CLAS","General Chemistry II Lab","Jeff A. Altig & Shimaa Z. Mehanna","0","24","24","0","$150","https://catalog.nmt.edu/courses/CHEM1225",""
"30957","CHEM 1225L-06","M","R","01/16/2023-05/09/2023","1400-1630","LOPEZ 134","1","CLAS","General Chemistry II Lab","Jeff A. Altig & Md Shahriar Hasan","0","24","24","0","$150","https://catalog.nmt.edu/courses/CHEM1225",""
"30958","CHEM 1225L-07","M","F","01/16/2023-05/09/2023","1400-1630","LOPEZ 134","1","CLAS","General Chemistry II Lab","Jeff A. Altig & Isabella R. Martinez Pruet","2","24","22","0","$150","https://catalog.nmt.edu/courses/CHEM1225",""
"31424","CHEM 1225L-08","M","W","01/16/2023-05/09/2023","1830-2100","LOPEZ 134","1","CLAS","General Chemistry II Lab","Jeff A. Altig & Jason K. Leboeuf","6","24","18","0","$150","https://catalog.nmt.edu/courses/CHEM1225",""
