CRN,Course,*Campus,Days,Date,Time,Location,Hrs,Type,Title,Instructor,Seats,Limit,Enroll,Waitlist,Course Fees,Catalog
"31818","CH E 491-01","M",,"01/17/2023-05/09/2023",,,"1","CLAS","Assist develop new safety crse","Seth T. Price","0","1","1","0","N/A","Bookstore Link",
"31345","CH E 563-01","M","T R","01/16/2023-05/09/2023","1100-1215","JONES 227","3","CLAS","Design and Analysis of Experim","Donghyeon Ryu","1","18","17","0","N/A","Bookstore Link",
"31714","CH E 563-01D","DE","T R","01/16/2023-05/09/2023","1100-1215",,"3","CLAS","Design and Analysis of Experim","Donghyeon Ryu","10","10","0","0","N/A","Bookstore Link",
"31556","CH E 572-01","M","T R","01/16/2023-05/09/2023","1530-1645","JONES 227","3","CLAS","Interfacial Transport Phenomen","Pabitra Choudhury","8","22","14","0","$35","Bookstore Link",
"31557","CH E 572-01D","M","T R","01/16/2023-05/09/2023","1530-1645",,"3","CLAS","Interfacial Transport Phenomen","Pabitra Choudhury","2","5","3","0","N/A","Bookstore Link",
"31405","CH E 591-01","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Thesis","Sanchari Chowdhury","7","10","3","0","N/A","Bookstore Link",
"31454","CH E 591-02","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Thesis","Pabitra Choudhury","8","10","2","0","N/A","Bookstore Link",
"31455","CH E 591-03","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Thesis","Corey A. Leclerc","8","10","2","0","N/A","Bookstore Link",
"31007","CH E 591-04","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Thesis","Youngmin Lee","9","10","1","0","N/A","Bookstore Link",
"31009","CH E 591-05","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Thesis","Michaelann S. Tartis","7","10","3","0","N/A","Bookstore Link",
"31010","CH E 595-01","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Dissertation","Pabitra Choudhury","10","10","0","0","N/A","Bookstore Link",
"31011","CH E 595-02","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Dissertation","Sanchari Chowdhury","10","10","0","0","N/A","Bookstore Link",
"31012","CH E 595-03","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Dissertation","Corey A. Leclerc","10","10","0","0","N/A","Bookstore Link",
"31013","CH E 595-04","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Dissertation","Youngmin Lee","9","10","1","0","N/A","Bookstore Link",
"31015","CH E 595-05","M",,"01/16/2023-05/09/2023",,,"1","CLAS","Dissertation","Michaelann S. Tartis","10","10","0","0","N/A","Bookstore Link",
"31518","CHEM 0189-01","M","R","01/16/2023-05/09/2023","1700-1750","LOPEZ 106","1","CLAS","Advanced Supplemental Instruct","Jeff A. Altig","5","24","19","0","N/A","Bookstore Link",
"30801","CHEM 1215-01","M","M W F","01/16/2023-05/09/2023","1100-1150","LOPEZ 106","3","CLAS","General Chemistry I","Ujith S. Madduma Bandarage","0","72","72","0","N/A","Bookstore Link",
"30811","CHEM 1215L-01","M","T","01/16/2023-05/09/2023","1400-1630","LOPEZ 135","1","CLAS","General Chemistry I Lab","Jeff A. Altig","1","24","23","0","$150","Bookstore Link",
,,,,,,,,,,"Yagama Nipuni A. De Silva",,,,,,,
"30906","CHEM 1215L-02","M","W","01/16/2023-05/09/2023","1400-1630","LOPEZ 135","1","CLAS","General Chemistry I Lab","Jeff A. Altig","2","24","22","0","$150","Bookstore Link",
,,,,,,,,,,"Yagama Nipuni A. De Silva",,,,,,,
"31290","CHEM 1215L-03","M","R","01/16/2023-05/09/2023","1400-1630","LOPEZ 135","1","CLAS","General Chemistry I Lab","Jeff A. Altig","10","24","14","0","$150","Bookstore Link",
,,,,,,,,,,"Ruthie J. Mulvaney",,,,,,,
"30909","CHEM 1225-01","M","M W F","01/16/2023-05/09/2023","0900-0950","LOPEZ 106","3","CLAS","General Chemistry II","Ujith S. Madduma Bandarage","8","66","58","0","N/A","Bookstore Link",
"30910","CHEM 1225-02","M","M W F","01/16/2023-05/09/2023","1000-1050","LOPEZ 106","3","CLAS","General Chemistry II","Menake E. Piyasena","0","66","66","0","N/A","Bookstore Link",
"31291","CHEM 1225-03","M","M W F","01/16/2023-05/09/2023","1300-1350","LOPEZ 106","3","CLAS","General Chemistry II","Menake E. Piyasena","12","66","54","0","N/A","Bookstore Link",
